ticker,company_name,cik,sec_title,latest_periodic_date,latest_periodic_form,cash,short_term_investments,marketable_securities_noncurrent,cash_and_investments,total_debt,operating_cf_quarter,net_loss_quarter,rd_expense_quarter,gna_expense_quarter,quarterly_burn,monthly_burn,cash_runway_months,shares_outstanding,cash_per_share,recent_offering_180d,recent_offering_365d,latest_offering_date,latest_offering_form,offering_forms_365d_count,dilution_risk,sec_data_quality,data_notes,forms_365d,generated_at
AAPG,Ascentage Pharma Group International - American Depository Shares,0002023311,ASCENTAGE PHARMA GROUP INTERNATIONAL,2026-04-29,20-F,,,,,,,,,,,,,373322192.0,,False,False,,,0,UNKNOWN,LOW,cash_missing | burn_missing,20-F:1;3:13;3/A:9;4:3;6-K:46;S-8:1;S-8 POS:1,2026-06-26T07:17:43+00:00
AARD,"Aardvark Therapeutics, .",0001774857,"Aardvark Therapeutics, Inc.",2026-05-07,10-Q,62.44,28.76,,91.2,,-18.87,-21.59,16.57,5.9,18.87,6.29,14.5,21816385.0,4.18,True,True,2026-04-03,EFFECT,3,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:3;4:11;424B5:1;8-K:17;CORRESP:1;EFFECT:1;S-3:1;S-8:2;UPLOAD:1,2026-06-26T07:17:43+00:00
ABEO,Abeona Therapeutics .,0000318306,ABEONA THERAPEUTICS INC.,2026-05-13,10-Q,61.37,185.52,,246.9,18.09,-19.8,-17.07,9.55,19.5,19.8,6.6,37.4,56995144.0,4.33,False,False,,,0,LOW,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments,MarketableSecuritiesCurrent | debt_tags=LongTermDebtCurrent,ShortTermBorrowings,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;144:37;3:2;4:51;8-K:13;ARS:1;DEF 14A:1;DEFA14A:1;PRE 14A:1;SCHEDULE 13G:7;SCHEDULE 13G/A:7,2026-06-26T07:17:44+00:00
ABOS,"Acumen Pharmaceuticals, .",0001576885,"Acumen Pharmaceuticals, Inc.",2026-05-12,10-Q,51.8,76.6,0.0,128.4,14.12,-24.13,-20.74,16.48,4.67,24.13,8.04,16.0,72227580.0,1.78,True,True,2026-04-01,EFFECT,4,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | debt_tags=ShortTermBorrowings | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:44;3:1;4:38;424B3:1;424B5:1;8-K:10;ARS:1;CORRESP:1;DEF 14A:1;DEFA14A:1;EFFECT:1;S-3:1;S-8:1;SCHEDULE 13D/A:1;SCHEDULE 13G:1;SCHEDULE 13G/A:2;UPLOAD:1,2026-06-26T07:17:45+00:00
ABUS,Arbutus Biopharma,0001447028,Arbutus Biopharma Corp,2026-05-13,10-Q,23.71,73.46,,97.17,,-8.11,169.69,4.12,5.89,8.11,2.7,35.9,197537710.0,0.49,False,False,,,0,LOW,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;3:1;4:5;8-K:13;DEF 14A:1;DEFA14A:1;S-8:1;SCHEDULE 13D/A:2;SCHEDULE 13G:1;SCHEDULE 13G/A:3,2026-06-26T07:17:45+00:00
ABVC,"ABVC BioPharma, .",0001173313,"ABVC BIOPHARMA, INC.",2026-05-18,10-Q,0.14,0.06,,0.2,0.1,-0.89,-1.56,0.03,0.33,0.89,0.3,0.7,26000442.0,0.01,True,True,2026-03-27,POS AM,1,HIGH,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | debt_tags=ShortTermBorrowings,ConvertibleNotesPayable | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;10-Q/A:1;424B4:9;8-K:5;8-K/A:3;DEF 14A:1;NT 10-Q:1;POS AM:1;PRE 14A:1;S-8:1;SCHEDULE 13D/A:1;SCHEDULE 13G/A:1,2026-06-26T07:17:46+00:00
ABVX,Abivax,0001956827,Abivax S.A.,2026-03-23,20-F,,,,,,,,,,,,,78536412.0,,False,True,2025-07-24,424B5,4,MEDIUM,LOW,cash_missing | burn_missing,144:2;20-F:1;424B5:2;424B7:1;6-K:11;F-3ASR:1;FWP:2;S-8:1;SCHEDULE 13D/A:4;SCHEDULE 13G/A:4,2026-06-26T07:17:46+00:00
ACAD,ACADIA Pharmaceuticals .,0001070494,ACADIA PHARMACEUTICALS INC,2026-05-07,10-Q,282.21,83.03,,365.24,0.02,33.98,3.64,76.87,27.49,104.36,34.79,10.5,171235870.0,2.13,False,False,,,0,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=AvailableForSaleSecuritiesCurrent | debt_tags=LongTermDebtCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:3;3:1;4:31;8-K:9;ARS:1;DEF 14A:1;S-8:1;SCHEDULE 13D/A:1;SCHEDULE 13G:1;SCHEDULE 13G/A:2,2026-06-26T07:17:47+00:00
ACIU,AC Immune,0001651625,AC Immune SA,2026-03-13,20-F,,,,,,,,,,,,,101742231.0,,False,False,,,0,UNKNOWN,LOW,cash_missing | burn_missing,144:6;20-F:1;3:8;4:7;4/A:1;6-K:14,2026-06-26T07:17:47+00:00
ACRS,"Aclaris Therapeutics, .",0001557746,"Aclaris Therapeutics, Inc.",2026-05-07,10-Q,28.66,,,28.66,,-18.15,-19.82,15.66,6.74,18.15,6.05,4.7,139663680.0,0.21,False,False,,,0,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;3:1;4:26;4/A:2;8-K:13;ARS:1;DEF 14A:1;DEFA14A:1;SCHEDULE 13G:4;SCHEDULE 13G/A:8,2026-06-26T07:17:48+00:00
